date,sqft_backlog_rolling_year
2019-02-24,35203.24185053381
2019-02-25,35785.084964539004
2019-02-26,35760.86156028369
2019-02-27,35736.762269503546
2019-02-28,35675.18070921986
2019-03-01,35704.0104964539
2019-03-02,35328.505195729536
2019-03-03,35450.87485714286
2019-03-04,35394.75430604982
2019-03-05,35492.38419928826
2019-03-06,35463.83971530249
2019-03-07,35185.77209964413
2019-03-08,35246.30234875445
2019-03-09,35235.27743772242
2019-03-10,35235.27743772242
2019-03-11,35250.1777935943
2019-03-12,35280.473167259785
2019-03-13,35286.58704626335
2019-03-14,35243.08882562278
2019-03-15,35239.869964412814
2019-03-16,35219.5695
2019-03-17,35219.5695
2019-03-18,35226.230214285715
2019-03-19,35075.78021428571
2019-03-20,34700.515928571425
2019-03-21,34740.81235714286
2019-03-22,34762.00164285714
2019-03-23,34853.503440860215
2019-03-24,34977.24266187051
2019-03-25,34998.31820143885
2019-03-26,35140.4117266187
2019-03-27,35052.92611510791
2019-03-28,34945.77863309353
2019-03-29,34664.24985611511
2019-03-30,34786.50346570397
2019-03-31,34661.893741007196
2019-04-01,34548.4317562724
2019-04-02,34596.97655913979
2019-04-03,34133.56437275986
2019-04-04,34096.41025089606
2019-04-05,33991.22387096774
2019-04-06,34083.47647482014
2019-04-07,34083.47647482014
2019-04-08,34094.26424460432
2019-04-09,34238.34697841726
2019-04-10,34234.559208633094
2019-04-11,34205.929712230216
2019-04-12,34180.159928057554
2019-04-13,34267.866281588445
2019-04-14,34267.866281588445
2019-04-15,34681.87395683453
2019-04-16,34673.70489208633
2019-04-17,34821.58618705036
2019-04-18,34802.93510791367
2019-04-19,34787.62575539568
2019-04-20,34822.09010830325
2019-04-21,34822.09010830325
2019-04-22,34869.86989169675
2019-04-23,41043.77963898917
2019-04-24,41031.9276534296
2019-04-25,41029.007075812275
2019-04-26,41028.989025270756
2019-04-27,41147.67376811594
2019-04-28,41294.78530909091
2019-04-29,41180.767971014495
2019-04-30,41184.970869565215
2019-05-01,41080.80782608696
2019-05-02,41159.70275362319
2019-05-03,41108.01072463768
2019-05-04,41142.581672727276
2019-05-05,41142.581672727276
2019-05-06,41042.01072463768
2019-05-07,41001.41652173913
2019-05-08,40936.82594202898
2019-05-09,38344.8984057971
2019-05-10,37941.44913043478
2019-05-11,37566.67985454545
2019-05-12,37566.67985454545
2019-05-13,37570.58530909091
2019-05-14,37578.250763636366
2019-05-15,37583.62530909091
2019-05-16,37380.26894545455
2019-05-17,37307.5344
2019-05-18,36716.13124087591
2019-05-19,36583.519854545455
2019-05-20,36453.91289855073
2019-05-21,35087.88391304348
2019-05-22,34495.771594202895
2019-05-23,34138.293333333335
2019-05-24,32636.532463768115
2019-05-25,32738.941672727273
2019-05-26,32738.941672727273
