date,type,value
2011-12-13,Accessory Dwelling Unit,83.94262295081967
2011-12-14,Accessory Dwelling Unit,83.94262295081967
2011-12-15,Accessory Dwelling Unit,85.51639344262296
2011-12-16,Accessory Dwelling Unit,85.51639344262296
2011-12-17,Accessory Dwelling Unit,85.51639344262296
2011-12-18,Accessory Dwelling Unit,85.51639344262296
2011-12-19,Accessory Dwelling Unit,85.51639344262296
2011-12-20,Accessory Dwelling Unit,85.51639344262296
2011-12-21,Accessory Dwelling Unit,85.51639344262296
2011-12-22,Accessory Dwelling Unit,86.65573770491804
2011-12-23,Accessory Dwelling Unit,83.22950819672131
2011-12-24,Accessory Dwelling Unit,83.22950819672131
2011-12-25,Accessory Dwelling Unit,83.22950819672131
2011-12-26,Accessory Dwelling Unit,83.22950819672131
2011-12-27,Accessory Dwelling Unit,83.22950819672131
2011-12-28,Accessory Dwelling Unit,86.39890710382514
2011-12-29,Accessory Dwelling Unit,82.58743169398907
2011-12-30,Accessory Dwelling Unit,82.58743169398907
2011-12-31,Accessory Dwelling Unit,82.58743169398907
2012-01-01,Accessory Dwelling Unit,82.58743169398907
2012-01-02,Accessory Dwelling Unit,82.58743169398907
2012-01-03,Accessory Dwelling Unit,82.58743169398907
2012-01-04,Accessory Dwelling Unit,82.58743169398907
2012-01-05,Accessory Dwelling Unit,81.71584699453553
2012-01-06,Accessory Dwelling Unit,81.71584699453553
2012-01-07,Accessory Dwelling Unit,81.71584699453553
2012-01-08,Accessory Dwelling Unit,81.71584699453553
2012-01-09,Accessory Dwelling Unit,81.71584699453553
2012-01-10,Accessory Dwelling Unit,81.71584699453553
2012-01-11,Accessory Dwelling Unit,81.71584699453553
2012-01-12,Accessory Dwelling Unit,81.71584699453553
2012-01-13,Accessory Dwelling Unit,81.71584699453553
2012-01-14,Accessory Dwelling Unit,81.71584699453553
2012-01-15,Accessory Dwelling Unit,80.33333333333333
2012-01-16,Accessory Dwelling Unit,80.33333333333333
2012-01-17,Accessory Dwelling Unit,80.33333333333333
2012-01-18,Accessory Dwelling Unit,80.33333333333333
2012-01-19,Accessory Dwelling Unit,80.33333333333333
2012-01-20,Accessory Dwelling Unit,80.33333333333333
2012-01-21,Accessory Dwelling Unit,80.33333333333333
2012-01-22,Accessory Dwelling Unit,80.33333333333333
2012-01-23,Accessory Dwelling Unit,80.33333333333333
2012-01-24,Accessory Dwelling Unit,80.33333333333333
2012-01-25,Accessory Dwelling Unit,80.33333333333333
2012-01-26,Accessory Dwelling Unit,80.33333333333333
2012-01-27,Accessory Dwelling Unit,80.33333333333333
2012-01-28,Accessory Dwelling Unit,80.33333333333333
2012-01-29,Accessory Dwelling Unit,80.33333333333333
2012-01-30,Accessory Dwelling Unit,80.33333333333333
2012-01-31,Accessory Dwelling Unit,80.33333333333333
2012-02-01,Accessory Dwelling Unit,80.33333333333333
2012-02-02,Accessory Dwelling Unit,77.59016393442623
2012-02-03,Accessory Dwelling Unit,77.59016393442623
2012-02-04,Accessory Dwelling Unit,77.59016393442623
2012-02-05,Accessory Dwelling Unit,77.59016393442623
2012-02-06,Accessory Dwelling Unit,77.59016393442623
2012-02-07,Accessory Dwelling Unit,77.59016393442623
2012-02-08,Accessory Dwelling Unit,77.59016393442623
2012-02-09,Accessory Dwelling Unit,77.59016393442623
2012-02-10,Accessory Dwelling Unit,77.59016393442623
2012-02-11,Accessory Dwelling Unit,77.59016393442623
2012-02-12,Accessory Dwelling Unit,77.59016393442623
2012-02-13,Accessory Dwelling Unit,80.59562841530055
2012-02-14,Accessory Dwelling Unit,83.97267759562841
2012-02-15,Accessory Dwelling Unit,83.15300546448087
2012-02-16,Accessory Dwelling Unit,85.09562841530055
2012-02-17,Accessory Dwelling Unit,85.09562841530055
2012-02-18,Accessory Dwelling Unit,85.09562841530055
2012-02-19,Accessory Dwelling Unit,85.09562841530055
2012-02-20,Accessory Dwelling Unit,85.09562841530055
2012-02-21,Accessory Dwelling Unit,85.09562841530055
2012-02-22,Accessory Dwelling Unit,85.09562841530055
2012-02-23,Accessory Dwelling Unit,86.54371584699453
2012-02-24,Accessory Dwelling Unit,86.25956284153006
2012-02-25,Accessory Dwelling Unit,86.25956284153006
2012-02-26,Accessory Dwelling Unit,86.25956284153006
2012-02-27,Accessory Dwelling Unit,86.25956284153006
2012-02-28,Accessory Dwelling Unit,86.25956284153006
2012-02-29,Accessory Dwelling Unit,86.25956284153006
2012-03-01,Accessory Dwelling Unit,94.51639344262296
2012-03-02,Accessory Dwelling Unit,94.51639344262296
2012-03-03,Accessory Dwelling Unit,94.51639344262296
2012-03-04,Accessory Dwelling Unit,91.10655737704919
2012-03-05,Accessory Dwelling Unit,91.10655737704919
2012-03-06,Accessory Dwelling Unit,91.10655737704919
2012-03-07,Accessory Dwelling Unit,91.10655737704919
2012-03-08,Accessory Dwelling Unit,91.10655737704919
2012-03-09,Accessory Dwelling Unit,91.93715846994536
2012-03-10,Accessory Dwelling Unit,91.93715846994536
2012-03-11,Accessory Dwelling Unit,91.93715846994536
2012-03-12,Accessory Dwelling Unit,91.93715846994536
2012-03-13,Accessory Dwelling Unit,91.93715846994536
2012-03-14,Accessory Dwelling Unit,91.93715846994536
2012-03-15,Accessory Dwelling Unit,91.93715846994536
2012-03-16,Accessory Dwelling Unit,90.28688524590164
2012-03-17,Accessory Dwelling Unit,90.28688524590164
2012-03-18,Accessory Dwelling Unit,90.28688524590164
2012-03-19,Accessory Dwelling Unit,90.28688524590164
2012-03-20,Accessory Dwelling Unit,90.28688524590164
2012-03-21,Accessory Dwelling Unit,88.10109289617486
2012-03-22,Accessory Dwelling Unit,88.10109289617486
2012-03-23,Accessory Dwelling Unit,88.10109289617486
