date,type,value
2012-07-26,Commercial,1686.3524590163934
2012-07-27,Commercial,1671.5983606557377
2012-07-28,Commercial,1671.5983606557377
2012-07-29,Commercial,1671.5983606557377
2012-07-30,Commercial,1671.5983606557377
2012-07-31,Commercial,1671.5983606557377
2012-08-01,Commercial,1671.5983606557377
2012-08-02,Commercial,1671.5983606557377
2012-08-03,Commercial,1671.5983606557377
2012-08-04,Commercial,1671.5983606557377
2012-08-05,Commercial,1671.5983606557377
2012-08-06,Commercial,1671.5983606557377
2012-08-07,Commercial,1671.5983606557377
2012-08-08,Commercial,1671.5983606557377
2012-08-09,Commercial,1665.9207650273224
2012-08-10,Commercial,1672.0983606557377
2012-08-11,Commercial,1672.0983606557377
2012-08-12,Commercial,1672.0983606557377
2012-08-13,Commercial,1672.0983606557377
2012-08-14,Commercial,1672.74043715847
2012-08-15,Commercial,1924.1065573770493
2012-08-16,Commercial,1924.1065573770493
2012-08-17,Commercial,2191.6420765027324
2012-08-18,Commercial,2191.6420765027324
2012-08-19,Commercial,2191.6420765027324
2012-08-20,Commercial,2206.898907103825
2012-08-21,Commercial,2229.3715846994537
2012-08-22,Commercial,2245.7978142076504
2012-08-23,Commercial,2257.601092896175
2012-08-24,Commercial,2257.601092896175
2012-08-25,Commercial,2257.601092896175
2012-08-26,Commercial,2257.601092896175
2012-08-27,Commercial,2263.948087431694
2012-08-28,Commercial,2263.948087431694
2012-08-29,Commercial,2263.948087431694
2012-08-30,Commercial,2263.948087431694
2012-08-31,Commercial,2263.948087431694
2012-09-01,Commercial,2263.948087431694
2012-09-02,Commercial,2263.948087431694
2012-09-03,Commercial,2263.948087431694
2012-09-04,Commercial,2263.948087431694
2012-09-05,Commercial,2267.2677595628415
2012-09-06,Commercial,2267.2677595628415
2012-09-07,Commercial,2266.087431693989
2012-09-08,Commercial,2266.087431693989
2012-09-09,Commercial,2266.087431693989
2012-09-10,Commercial,2266.087431693989
2012-09-11,Commercial,2266.087431693989
2012-09-12,Commercial,2266.087431693989
2012-09-13,Commercial,2266.087431693989
2012-09-14,Commercial,2266.087431693989
2012-09-15,Commercial,2266.087431693989
2012-09-16,Commercial,2265.0819672131147
2012-09-17,Commercial,2265.0819672131147
2012-09-18,Commercial,2265.0819672131147
2012-09-19,Commercial,2265.0819672131147
2012-09-20,Commercial,2259.8032786885246
2012-09-21,Commercial,2259.8032786885246
2012-09-22,Commercial,2259.8032786885246
2012-09-23,Commercial,2259.8032786885246
2012-09-24,Commercial,2259.8032786885246
2012-09-25,Commercial,2259.8032786885246
2012-09-26,Commercial,2259.8032786885246
2012-09-27,Commercial,2259.8032786885246
2012-09-28,Commercial,2259.8032786885246
2012-09-29,Commercial,2259.8032786885246
2012-09-30,Commercial,2259.8032786885246
2012-10-01,Commercial,2290.1311475409834
2012-10-02,Commercial,2290.1311475409834
2012-10-03,Commercial,2378.592896174863
2012-10-04,Commercial,2378.592896174863
2012-10-05,Commercial,2378.592896174863
2012-10-06,Commercial,2378.592896174863
2012-10-07,Commercial,2378.592896174863
2012-10-08,Commercial,2378.592896174863
2012-10-09,Commercial,2378.592896174863
2012-10-10,Commercial,2378.592896174863
2012-10-11,Commercial,2378.592896174863
2012-10-12,Commercial,2693.1393442622953
2012-10-13,Commercial,2693.1393442622953
2012-10-14,Commercial,2693.1393442622953
2012-10-15,Commercial,2693.1393442622953
2012-10-16,Commercial,2693.1393442622953
2012-10-17,Commercial,2693.1393442622953
2012-10-18,Commercial,2684.9590163934427
2012-10-19,Commercial,2685.77868852459
2012-10-20,Commercial,2685.77868852459
2012-10-21,Commercial,2685.77868852459
2012-10-22,Commercial,2685.77868852459
2012-10-23,Commercial,2685.77868852459
2012-10-24,Commercial,2685.77868852459
2012-10-25,Commercial,2685.77868852459
2012-10-26,Commercial,2687.879781420765
2012-10-27,Commercial,2687.879781420765
2012-10-28,Commercial,2687.879781420765
2012-10-29,Commercial,2687.879781420765
2012-10-30,Commercial,2687.879781420765
2012-10-31,Commercial,2687.879781420765
2012-11-01,Commercial,2687.879781420765
2012-11-02,Commercial,2472.8661202185795
2012-11-03,Commercial,2472.8661202185795
2012-11-04,Commercial,2472.8661202185795
2012-11-05,Commercial,2472.8661202185795
2012-11-06,Commercial,2472.8661202185795
2012-11-07,Commercial,2472.8661202185795
2012-11-08,Commercial,2550.3606557377047
